"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"36","214_D_1428",23290000,22930000,1.21279886867978,0.157714081791223,"june",1,0,2233.36124798466,23292233.361248,-362233.361247983
"37","221_B_1510",19920000,23480000,-0.287772139186386,0.262677378546474,"june",1,0,1889.93147687453,19921889.9314769,3558110.06852312
"38","221_C_1511",24820000,32920000,1.89406701171694,2.06422923558205,"june",1,0,3302.62083666323,24823302.6208367,8096697.37916334
"39","231_A_1629",20030000,23450000,-0.238792076615087,0.256952107814369,"june",1,0,1899.35176828252,20031899.3517683,3418100.64823172
"40","231_B_1630",2.2e+07,20770000,0.638396316707272,-0.254505410920308,"june",1,0,1989.94623357451,22001989.9462336,-1231989.94623357
"41","231_C_1631",19440000,11050000,-0.501503321315692,-2.1094931281222,"june",1,0,1029.94474593328,19441029.9447459,-8391029.94474593
"42","233_B_1654",20140000,28410000,-0.189812014043788,1.203530202189,"june",1,0,2043.40410727802,20142043.4041073,8267956.59589272
"43","233_C_1655",20810000,29820000,0.108521094345034,1.47261792659791,"june",1,0,2185.24327673173,20812185.2432767,9007814.75672327
"44","236_A_1689",20930000,18510000,0.161953889877361,-0.68580913940552,"june",1,0,1788.3542468919,20931788.3542469,-2421788.35424689
"45","236_C_1691",21360000,19990000,0.353421407201531,-0.403362449955027,"june",1,0,1908.52438121946,21361908.5243812,-1371908.52438122
"46","236_D_1692",23500000,26600000,1.30630626086135,0.858105534685352,"june",1,0,2456.83088385508,23502456.8308839,3097543.16911614
"47","242_A_1761",19230000,22470000,-0.595010713497264,0.0699265972322857,"june",1,0,1749.84985825435,19231749.8498583,3238250.15014175
"48","242_B_1762",19220000,23750000,-0.599463446458292,0.314204815135415,"june",1,0,1820.96671688693,19221820.9667169,4528179.03328311
"49","242_C_1763",18520000,22460000,-0.911154753730196,0.0680181736549179,"june",1,0,1605.72345400039,18521605.723454,3938394.276546
"50","242_D_1764",23450000,26220000,1.28404259605622,0.78558543874536,"june",1,0,2428.50339503145,23452428.503395,2767571.49660497
"51","243_A_1793",22190000,27750000,0.72299824296679,1.07757424608269,"june",1,0,2304.18832160742,22192304.1883216,5557695.81167839
"52","243_B_1794",2.1e+07,28890000,0.193123020604552,1.29513453390267,"june",1,0,2166.52768604322,21002166.527686,7887833.47231396
"53","243_C_1795",20250000,17630000,-0.140831951472489,-0.853750414213922,"june",1,0,1599.71760405429,20251599.7176041,-2621599.71760406
"54","243_D_1796",21420000,25700000,0.380137804967695,0.686347412722214,"june",1,0,2085.75210327552,21422085.7521033,4277914.24789672
"55","245_A_1797",27830000,13780000,3.23433963298613,-1.58849349150068,"june",1,0,2446.50912234918,27832446.5091223,-14052446.5091223
"56","245_B_1798",20900000,26820000,0.148595690994279,0.900090853387452,"june",1,0,2067.1580709763,20902067.158071,5917932.84192902
"57","245_D_1800",27300000,31300000,2.99834478605169,1.7550646160484,"june",1,0,3759.7790957691,27303759.7790958,3996240.22090423
"58","248_A_1833",23530000,23460000,1.31966445974444,0.258860531391738,"june",1,0,2298.20382742218,23532298.2038274,-72298.2038274221
"59","248_B_1834",21180000,29140000,0.273272213903041,1.34284512333687,"june",1,0,2208.32433784925,21182208.3243378,7957791.67566215
"60","248_C_1835",19600000,21900000,-0.430259593939257,-0.0388535466777016,"june",1,0,1776.49389516788,19601776.4938952,2298223.50610483
