"","reaction_type","sampleID","starting_quantity","Cycle_number","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39"
"28","test1","gblock+IRE_plus18IRE",0.1,"D16",3483.412894,3433.121123,3433.875826,3433.214875,3428.704808,3427.573351,3425.402957,3424.801872,3418.737695,3421.380208,3422.341897,3420.186149,3422.255069,3422.055369,3422.717343,3421.042895,3423.106755,3427.165791,3435.881108,3445.424421,3461.470427,3490.486203,3534.127244,3600.892871,3686.559569,3778.370633,3867.531225,3958.246336,4038.927509,4116.797082,4180.635387,4251.02108,4315.889424,4370.588415,4420.316703,4463.521494,4515.427142,4551.715997,4579.706378,4619.350546
"29","test1","gblock+IRE_plus18IRE",0.1,"D17",3588.43672,3544.156055,3543.184613,3540.234036,3535.680268,3535.632029,3532.760815,3536.489143,3530.88241,3531.333413,3528.80096,3529.404964,3530.987248,3532.150743,3533.621652,3533.208603,3534.353899,3538.037878,3544.219874,3551.369548,3574.869542,3614.248468,3664.901363,3745.727926,3847.579105,3956.314833,4060.618785,4159.243477,4253.813021,4340.056799,4421.930421,4502.476421,4568.548008,4629.979851,4685.908711,4741.185272,4786.299873,4829.707069,4872.309698,4905.516946
"30","test1","gblock+IRE_plus18IRE",0.1,"D18",3605.254144,3554.46405,3550.882966,3548.119265,3547.311497,3542.022786,3539.797703,3540.951063,3540.205803,3538.706256,3537.881263,3540.821195,3535.102172,3536.634068,3540.56832,3539.066867,3543.285599,3541.573257,3550.576698,3560.250603,3578.067754,3608.943939,3662.963015,3743.425923,3835.978248,3938.640179,4042.060843,4136.49402,4230.573022,4314.940032,4397.550866,4475.016219,4542.843187,4604.244105,4657.992769,4718.243265,4760.290721,4800.444749,4838.653635,4877.868815
"31","all_products","gblock+IRE_plus18IRE",0.1,"D19",3613.549282,3563.947511,3560.694952,3558.431929,3556.105228,3550.463782,3552.657146,3549.134922,3545.268412,3546.626875,3547.434787,3547.044795,3541.494837,3542.201802,3543.138569,3540.27958,3543.458305,3541.323911,3547.662951,3549.858333,3556.573621,3575.175383,3605.257349,3648.757765,3712.950516,3791.427518,3886.365554,3987.600756,4078.812998,4172.304023,4258.36924,4342.445901,4419.155684,4485.895282,4554.590708,4618.854945,4673.249112,4729.44195,4774.483969,4822.463222
"32","all_products","gblock+IRE_plus18IRE",0.1,"D20",3631.442917,3579.684843,3573.499932,3574.549385,3578.766717,3568.972674,3568.982555,3567.267615,3569.802819,3565.36919,3564.803732,3566.13885,3563.377795,3566.615176,3568.78134,3568.310944,3568.431712,3568.064529,3571.270212,3577.561054,3583.212381,3600.318671,3628.306017,3676.646144,3737.843744,3824.01466,3922.369056,4024.695758,4126.052561,4223.626942,4321.290808,4408.046157,4495.593527,4571.391565,4638.87323,4710.838723,4777.490827,4830.94508,4884.114419,4935.196536
"33","all_products","gblock+IRE_plus18IRE",0.1,"D21",3481.269974,3437.903558,3437.407878,3428.37094,3426.034559,3423.772937,3423.053364,3419.754233,3417.339537,3418.855797,3412.843637,3415.937049,3413.614431,3408.908364,3412.910173,3409.598604,3411.520728,3415.298545,3414.758542,3416.353266,3429.290645,3442.576534,3464.252197,3505.273166,3563.873565,3636.454324,3714.571608,3800.895226,3887.780522,3965.91077,4042.718726,4118.873081,4180.354956,4244.747635,4304.291416,4357.749368,4415.60635,4459.839228,4500.123784,4543.819796
"34","all_products","gblock_minusIRE_onlyExonnoIRE",0.1,"D22",3483.171698,3430.248935,3424.303386,3419.786783,3417.611244,3415.896158,3412.084367,3410.125127,3413.229305,3405.136332,3402.555059,3400.034873,3399.231115,3397.733895,3397.997698,3401.149249,3399.651964,3401.590091,3411.526087,3416.427963,3433.45845,3467.352091,3508.745025,3576.641335,3657.411986,3740.97635,3829.807847,3913.82586,3993.807176,4064.932007,4133.483657,4198.818351,4262.905214,4318.759945,4370.36854,4418.896335,4460.973606,4501.863474,4538.013618,4572.40679
"35","all_products","gblock_minusIRE_onlyExonnoIRE",0.1,"D23",3526.909847,3469.602919,3465.493788,3462.467971,3463.782148,3456.095756,3457.233863,3454.514945,3451.345029,3458.370639,3453.03018,3450.47421,3450.384729,3453.175469,3458.741263,3457.096178,3461.704617,3461.36948,3464.657907,3475.985108,3493.040248,3525.340956,3579.883988,3646.759938,3734.742171,3831.068232,3926.940721,4020.007513,4107.364398,4187.324597,4262.542387,4333.864627,4399.882498,4461.960454,4513.820249,4567.626884,4616.371907,4660.808958,4700.70754,4742.041708
"36","all_products","gblock_minusIRE_onlyExonnoIRE",0.1,"D24",3645.998394,3614.796951,3608.973921,3603.833782,3600.420458,3598.875271,3595.297781,3594.319885,3591.686154,3589.597638,3586.744572,3582.560728,3586.237902,3585.98434,3589.852918,3586.941556,3583.733792,3589.719011,3598.56317,3610.57506,3628.928594,3667.5524,3719.642992,3800.570242,3893.085673,3991.754355,4099.465426,4193.053673,4290.746311,4385.088956,4471.277862,4549.113643,4626.869018,4693.089584,4755.131883,4812.228063,4866.478078,4913.945859,4965.403285,5009.788907
"37","test1","gblock+IRE_plus18IRE",10,"E16",3468.454958,3431.565767,3424.558007,3421.992404,3418.820639,3418.226634,3418.46589,3417.259144,3416.033903,3413.777461,3417.384114,3416.911338,3428.390595,3444.225926,3470.770824,3518.044122,3580.523993,3665.459256,3767.344403,3855.09794,3950.899007,4039.77462,4120.996455,4188.580677,4260.93608,4324.31647,4380.615082,4433.202162,4477.823038,4512.392915,4551.530072,4578.244512,4609.842612,4630.660054,4653.05113,4673.674796,4692.553286,4704.699895,4719.820199,4738.466969
